epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,5024.64,0.42594,0.6245,0.39882,0.89208,0.95371,0.97145,0.98065,0.94483,0.95401,0.97174,0.98075,0.93653,0.27049,0.40476,0.20743,0.84109,0.000572054,0.000572054,0.000572054
51,5126.96,0.42159,0.60714,0.39364,0.88663,0.94873,0.97514,0.98621,0.95085,0.94902,0.97543,0.98633,0.93911,0.2744,0.39616,0.21336,0.84204,0.000561055,0.000561055,0.000561055
52,5226.57,0.4272,0.62207,0.40256,0.89001,0.95818,0.97408,0.9827,0.9455,0.95848,0.97438,0.98282,0.93771,0.2819,0.38901,0.2085,0.84387,0.000550056,0.000550056,0.000550056
53,5326.24,0.42292,0.61937,0.40062,0.89024,0.954,0.97777,0.98081,0.94699,0.95429,0.97807,0.98095,0.93927,0.27012,0.39176,0.20834,0.83988,0.000539057,0.000539057,0.000539057
54,5426.44,0.41975,0.61521,0.39857,0.89031,0.96024,0.97315,0.98359,0.94881,0.96054,0.97345,0.98366,0.93858,0.26379,0.39243,0.20236,0.83941,0.000528058,0.000528058,0.000528058
55,5525.7,0.41575,0.60782,0.38961,0.88562,0.95672,0.97518,0.98396,0.95152,0.95701,0.97548,0.98411,0.93808,0.26619,0.39458,0.20187,0.84065,0.000517059,0.000517059,0.000517059
56,5625.12,0.41846,0.61229,0.37916,0.88877,0.95685,0.97342,0.98387,0.95377,0.95715,0.97372,0.98407,0.94133,0.26587,0.39472,0.20437,0.84012,0.00050606,0.00050606,0.00050606
57,5727.27,0.41398,0.6039,0.38024,0.8867,0.96065,0.9733,0.98602,0.95453,0.96095,0.97359,0.98619,0.94073,0.26063,0.39287,0.19783,0.83829,0.000495062,0.000495062,0.000495062
58,5830.25,0.41615,0.60994,0.38981,0.88784,0.9549,0.98097,0.98493,0.95408,0.95519,0.98127,0.98501,0.94128,0.26278,0.39035,0.19642,0.83835,0.000484063,0.000484063,0.000484063
59,5933.28,0.4163,0.60994,0.38009,0.88696,0.96132,0.97434,0.98609,0.95636,0.96162,0.97464,0.98622,0.94242,0.25648,0.38855,0.19467,0.83707,0.000473064,0.000473064,0.000473064
60,6034.89,0.41069,0.60651,0.37598,0.88652,0.9585,0.97737,0.98597,0.95426,0.9588,0.97766,0.98608,0.94155,0.26931,0.39411,0.1984,0.84111,0.000462065,0.000462065,0.000462065
61,6134.49,0.41314,0.60014,0.37462,0.88491,0.96401,0.97134,0.98519,0.95523,0.9643,0.97163,0.98526,0.94145,0.26099,0.38783,0.19599,0.83988,0.000451066,0.000451066,0.000451066
62,6234.73,0.4069,0.59247,0.36258,0.88401,0.96023,0.97559,0.98367,0.95472,0.96052,0.97588,0.98383,0.9391,0.26588,0.38735,0.19323,0.84035,0.000440067,0.000440067,0.000440067
